"id_player","ranked","player_name","player_position","age","team","games_played","games_started","minutes_played"
"knoxke01","280","Kevin Knox","SF","24","Detroit Pistons","31","11","560"
"konchjo01","281","John Konchar","SF","27","Memphis Grizzlies","55","23","1173"
"korkmfu01","282","Furkan Korkmaz","SG","26","Philadelphia 76ers","35","0","300"
"kornelu01","283","Luke Kornet","C","28","Boston Celtics","63","7","983"
"krejcvi01","284","Vit Krejci","PG","23","Atlanta Hawks","22","14","541"
"kuminjo01","285","Jonathan Kuminga","PF","21","Golden State Warriors","74","46","1949"
"kuzmaky01","286","Kyle Kuzma","PF","28","Washington Wizards","70","70","2281"
"landajo01","287","Jock Landale","C","28","Houston Rockets","56","3","763"
"laravja01","288","Jake LaRavia","PF","22","Memphis Grizzlies","35","6","806"
"lavinza01","289","Zach LaVine","SG","28","Chicago Bulls","25","23","872"
"lawsoaj01","290","A.J. Lawson","SG","23","Dallas Mavericks","42","0","311"
"leesa01","291","Saben Lee","PG","24","Phoenix Suns","24","0","185"
"lenal01","292","Alex Len","C","30","Sacramento Kings","48","0","444"
"leonaka01","293","Kawhi Leonard","SF","32","Los Angeles Clippers","68","68","2330"
"leverca01","294","Caris LeVert","SG","29","Cleveland Cavaliers","68","10","1958"
"lewiski01","295","Kira Lewis Jr.","PG","22","New Orleans Pelicans","15","0","144"
"lewiski01","295","Kira Lewis Jr.","PG","22","Toronto Raptors","1","0","2"
"lewiski01","295","Kira Lewis Jr.","PG","22","Utah Jazz","12","0","119"
"lewisma05","296","Maxwell Lewis","SF","21","Los Angeles Lakers","34","0","103"
"liddeej01","297","E.J. Liddell","PF","23","New Orleans Pelicans","8","0","23"
"lillada01","298","Damian Lillard","PG","33","Milwaukee Bucks","73","73","2579"
"littlna01","299","Nassir Little","SF","23","Phoenix Suns","45","2","458"
"livelde01","300","Dereck Lively II","C","19","Dallas Mavericks","55","42","1294"
"liveris01","301","Isaiah Livers","PF","25","Detroit Pistons","23","6","469"
"livinch01","302","Chris Livingston","SF","20","Milwaukee Bucks","21","0","90"
"loftoke01","303","Kenneth Lofton Jr.","PF","21","Memphis Grizzlies","15","0","99"
"loftoke01","303","Kenneth Lofton Jr.","PF","21","Philadelphia 76ers","2","0","9"
"loftoke01","303","Kenneth Lofton Jr.","PF","21","Utah Jazz","4","0","91"
